"sound.files","duration","selec","start","end","bottom.freq","top.freq","tailored"
"199YGHMF_June_01_2018_35938098.wav_1",0.117279138646012,1,0.08,0.197279138646012,NA,NA,""
"199YGHMF_June_02_2018_48773265.wav_30",0.0619504303039662,1,0.08,0.141950430303966,NA,NA,""
"199YGHMF_June_03_2018_31381000.wav_781",0.051632835130988,1,0.08,0.131632835130988,NA,NA,""
"199YGHMF_June_03_2018_31709231.wav_3",0.0272109803063998,1,0.08,0.1072109803064,NA,NA,""
"199YGHMF_June_03_2018_33350405.wav_2",0.0480046280970043,1,0.08,0.128004628097004,NA,NA,""
"199YGHMF_June_03_2018_34991577.wav_3",0.092880146113032,1,0.0791679292608007,0.189011997049684,2.85182841869432,3.56025844279369,""
"199YGHMF_June_03_2018_34991577.wav_5",0.106553663715999,1,0.08,0.186553663715999,NA,NA,""
"199YGHMF_June_03_2018_35648046.wav_3",0.0622677932680062,1,0.08,0.142267793268006,NA,NA,""
"199YGHMF_June_03_2018_35976277.wav_1",0.109886834084023,1,0.08,0.189886834084023,NA,NA,""
"199YGHMF_June_03_2018_36632753.wav_366",0.0503856652009915,1,0.08,0.130385665200992,NA,NA,""
"199YGHMF_June_04_2018_41775934.wav_3",0.0576645107460081,1,0.0308359286898229,0.139890220301721,2.85182841869432,3.75704456059907,""
"199YGHMF_June_04_2018_41775934.wav_5",0.105306326349023,1,0.08,0.185306326349023,NA,NA,""
"199YGHMF_June_04_2018_41775934.wav_8",0.0722450378439987,1,0.0441121968126554,0.153322219916734,2.77311397157217,3.71768733703799,""
"199YGHMF_June_04_2018_41775934.wav_9",0.0723130651859947,1,0.0434412867232791,0.153196171999168,2.83214980691378,3.79640178416014,""
"199YGHMF_June_04_2018_42104169.wav_2",0.108050267633018,1,0.08,0.188050267633018,NA,NA,""
"199YGHMF_June_04_2018_42104169.wav_3",0.111134178734005,1,0.08,0.191134178734005,NA,NA,""
"199YGHMF_June_04_2018_42432413.wav_2",0.0413607558109987,1,0.0624577445502667,0.129295925172632,2.14339839459495,2.75343535979163,""
"199YGHMF_June_04_2018_42432413.wav_3",0.0802271677940212,1,0.0550262620682183,0.162992348436074,2.57632785376679,3.69800872525745,""
"199YGHMF_June_04_2018_42432413.wav_4",0.075329183554004,1,0.0441947863694317,0.156042290303555,2.6353636891084,3.99318790196552,""
"199YGHMF_June_04_2018_42432413.wav_6",0.0740366599350182,1,0.0446246750361655,0.155193749797752,2.61568507732786,3.95383067840445,""
"199YGHMF_June_04_2018_44730053.wav_1",0.109161382661995,1,0.0742295225928811,0.18886752036105,2.51729201842517,3.59961566635476,""
"199YGHMF_June_05_2018_35602620.wav_99",0.0311791986929961,1,0.076203441683778,0.114879711734442,1.90725505322849,2.83214980691378,""
