"original_dir","old_name","new_name","file_size_bytes","duplicate"
"/home/m/Dropbox/warbleR/docs/reference","Cryp.soui.wav","Cryp.soui.wav",144088,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long1-1-c24.wav","Phae.long1-1-c24.wav",12332,NA
"/home/m/Dropbox/warbleR/docs/reference/consolidated_folder","Phae.long1-1.wav","Phae.long1-1-1.wav",112582,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long1-1.wav","Phae.long1-1-2.wav",12332,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long1-2-c25.wav","Phae.long1-2-c25.wav",11882,NA
"/home/m/Dropbox/warbleR/docs/reference/consolidated_folder","Phae.long1-2.wav","Phae.long1-2-1.wav",112582,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long1-2.wav","Phae.long1-2-2.wav",11882,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long1-3-c26.wav","Phae.long1-3-c26.wav",12416,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long1-3.wav","Phae.long1-3.wav",12416,NA
"/home/m/Dropbox/warbleR/docs/reference/folder1","Phae.long1.wav","Phae.long1-1.wav",112582,"possible.dupl"
"/home/m/Dropbox/warbleR/docs/reference","Phae.long1.wav","Phae.long1-2.wav",112582,"possible.dupl"
"/home/m/Dropbox/warbleR/docs/reference","Phae.long2-1-c27.wav","Phae.long2-1-c27.wav",10510,NA
"/home/m/Dropbox/warbleR/docs/reference/consolidated_folder","Phae.long2-1.wav","Phae.long2-1-1.wav",76582,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long2-1.wav","Phae.long2-1-2.wav",10510,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long2-2-c28.wav","Phae.long2-2-c28.wav",10220,NA
"/home/m/Dropbox/warbleR/docs/reference/consolidated_folder","Phae.long2-2.wav","Phae.long2-2-1.wav",76582,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long2-2.wav","Phae.long2-2-2.wav",10220,NA
"/home/m/Dropbox/warbleR/docs/reference/folder1","Phae.long2.wav","Phae.long2-1.wav",76582,"possible.dupl"
"/home/m/Dropbox/warbleR/docs/reference","Phae.long2.wav","Phae.long2-2.wav",76582,"possible.dupl"
"/home/m/Dropbox/warbleR/docs/reference","Phae.long3-1-c29.wav","Phae.long3-1-c29.wav",10450,NA
"/home/m/Dropbox/warbleR/docs/reference/consolidated_folder","Phae.long3-1.wav","Phae.long3-1-1.wav",99080,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long3-1.wav","Phae.long3-1-2.wav",10450,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long3-2-c30.wav","Phae.long3-2-c30.wav",10402,NA
"/home/m/Dropbox/warbleR/docs/reference/consolidated_folder","Phae.long3-2.wav","Phae.long3-2-1.wav",99080,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long3-2.wav","Phae.long3-2-2.wav",10402,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long3-3-c31.wav","Phae.long3-3-c31.wav",10448,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long3-3.wav","Phae.long3-3.wav",10448,NA
"/home/m/Dropbox/warbleR/docs/reference/folder2","Phae.long3.wav","Phae.long3-1.wav",99080,"possible.dupl"
"/home/m/Dropbox/warbleR/docs/reference","Phae.long3.wav","Phae.long3-2.wav",99080,"possible.dupl"
"/home/m/Dropbox/warbleR/docs/reference","Phae.long4-1-c32.wav","Phae.long4-1-c32.wav",11088,NA
"/home/m/Dropbox/warbleR/docs/reference/consolidated_folder","Phae.long4-1.wav","Phae.long4-1-1.wav",144080,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long4-1.wav","Phae.long4-1-2.wav",11088,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long4-2-c33.wav","Phae.long4-2-c33.wav",11032,NA
"/home/m/Dropbox/warbleR/docs/reference/consolidated_folder","Phae.long4-2.wav","Phae.long4-2-1.wav",144080,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long4-2.wav","Phae.long4-2-2.wav",11032,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long4-3-c34.wav","Phae.long4-3-c34.wav",11074,NA
"/home/m/Dropbox/warbleR/docs/reference","Phae.long4-3.wav","Phae.long4-3.wav",11074,NA
"/home/m/Dropbox/warbleR/docs/reference/folder2","Phae.long4.wav","Phae.long4-1.wav",144080,"possible.dupl"
"/home/m/Dropbox/warbleR/docs/reference","Phae.long4.wav","Phae.long4-2.wav",144080,"possible.dupl"
"/home/m/Dropbox/warbleR/docs/reference/removed_silence_files","wv1.wav","wv1-1.wav",201788,NA
"/home/m/Dropbox/warbleR/docs/reference","wv1.wav","wv1-2.wav",324048,NA
