sound.files,selec,start,end,SNR,tailored
Phaethornis-longirostris-154070.wav,14,8.66411706988857,8.7882414592829,11.7158200811334,y
Phaethornis-longirostris-154070.wav,18,11.0796953813902,11.2034658811353,11.5941720974541,y
Phaethornis-longirostris-154070.wav,20,12.1905095018995,12.3197393507529,10.1915330369897,y
Phaethornis-longirostris-154072.wav,36,22.6039865382631,22.7289181739981,15.5308859661866,y
Phaethornis-longirostris-154072.wav,108,76.0379579466258,76.1628143378626,15.3027800327915,y
Phaethornis-longirostris-154072.wav,124,88.2848326603393,88.4065562005084,15.3046594709134,y
Phaethornis-longirostris-154072.wav,142,100.424985511993,100.546867701236,15.3005465254884,y
Phaethornis-longirostris-154072.wav,148,103.903270049585,104.025495769474,15.8330684219595,y
Phaethornis-longirostris-154129.wav,57,37.6722030596588,37.8159592196578,14.2312065083638,y
Phaethornis-longirostris-154129.wav,83,52.6641157986245,52.8047302431356,14.835174115535,y
Phaethornis-longirostris-154129.wav,87,55.0196998964435,55.15304948465,14.2366973296763,y
Phaethornis-longirostris-154129.wav,97,62.7255083581942,62.870526632987,16.5687882542868,y
Phaethornis-longirostris-154129.wav,99,63.7895667638889,63.9254563864632,14.8302602942077,y
Phaethornis-longirostris-154138.wav,10,89.6244579526692,89.783203160299,17.0780790163896,y
Phaethornis-longirostris-154138.wav,12,91.0034133283401,91.1633112885546,16.7758684466981,y
Phaethornis-longirostris-154138.wav,14,92.2541880163869,92.4143287689515,16.7134428346911,y
Phaethornis-longirostris-154138.wav,16,93.1919035907566,93.3389419054612,16.2542575599685,y
Phaethornis-longirostris-154138.wav,18,94.2561965393399,94.407903139533,14.2736563632167,y
Phaethornis-longirostris-154161.wav,106,68.9285911942804,69.0400520033381,13.3996714821067,y
Phaethornis-longirostris-154161.wav,134,86.1584337708977,86.2695314135872,13.8734567143212,y
Phaethornis-longirostris-154161.wav,138,88.5045022228093,88.6201863440694,13.2619348415672,y
Phaethornis-longirostris-154161.wav,140,89.7492218199577,89.8778555880805,12.975552103281,y
Phaethornis-longirostris-154161.wav,142,90.8979585962601,91.0134759083699,13.0973265660691,y
