"","sound.files","selec","start","end","SNR"
"1","Phaethornis-longirostris-154070.wav",1,0.191951197991962,0.322641375348191,2.34918983731184
"3","Phaethornis-longirostris-154070.wav",3,1.4661804272152,1.60912280869857,2.4490241938255
"5","Phaethornis-longirostris-154070.wav",5,2.6791486358027,2.8384272894556,2.80901579813768
"7","Phaethornis-longirostris-154070.wav",7,3.92887345677164,4.10040431455169,3.16238383473192
"9","Phaethornis-longirostris-154070.wav",9,5.62376169436024,5.78712441605552,3.0282675534606
"11","Phaethornis-longirostris-154070.wav",11,6.94291567204967,7.10627839374496,3.24654545391822
"13","Phaethornis-longirostris-154070.wav",13,8.07011845174715,8.24573337756958,3.64053742749856
"15","Phaethornis-longirostris-154070.wav",15,9.21774157165654,9.39335649747897,3.92569141260673
"17","Phaethornis-longirostris-154070.wav",17,10.5573158895579,10.7206786112532,2.98328161966224
"19","Phaethornis-longirostris-154070.wav",19,11.6028373084077,11.7784522342302,3.63668984091006
"21","Phaethornis-longirostris-154070.wav",21,12.99550451086,13.1506990964706,2.15550782188166
"23","Phaethornis-longirostris-154070.wav",23,14.1635479709813,14.3187425565919,2.57302309656882
"25","Phaethornis-longirostris-154070.wav",25,15.3152551589331,15.4704497445436,2.52333789268525
"27","Phaethornis-longirostris-154070.wav",27,16.4383738705882,16.5976525242411,3.32751582874538
"29","Phaethornis-longirostris-154070.wav",29,17.7248553039386,17.8882180256339,3.67425426813308
"31","Phaethornis-longirostris-154070.wav",31,19.4034072693577,19.5586018549682,0.537468974700413
"33","Phaethornis-longirostris-154070.wav",33,61.726604392564,61.8858830462169,1.12558133249957
"35","Phaethornis-longirostris-154072.wav",2,0.694029180754926,0.816504918535207,4.29066660468237
"37","Phaethornis-longirostris-154072.wav",4,1.7554855748507,1.87796131263098,2.9009873741419
"39","Phaethornis-longirostris-154072.wav",6,3.09047111665576,3.20478180525069,3.35323656352528
"41","Phaethornis-longirostris-154072.wav",8,4.21316537964167,4.34788869119998,4.24383328044683
"43","Phaethornis-longirostris-154072.wav",10,5.45833538040786,5.57672859359546,3.86165676221285
"45","Phaethornis-longirostris-154072.wav",12,6.56469954502306,6.69942285658137,4.38132573913688
"47","Phaethornis-longirostris-154072.wav",14,7.96092295571827,8.08748121809123,4.06038859432911
"49","Phaethornis-longirostris-154072.wav",16,9.20609295648446,9.33673374345009,4.20586222194198
"51","Phaethornis-longirostris-154072.wav",18,10.598233842587,10.7207095803673,3.98833492152707
"53","Phaethornis-longirostris-154072.wav",20,11.8883116138726,12.0107873516529,4.14050148010916
"55","Phaethornis-longirostris-154072.wav",22,13.0355010244146,13.1620592867875,2.06979761223572
"57","Phaethornis-longirostris-154072.wav",24,14.1622778119932,14.2929185989588,4.26873746160599
"59","Phaethornis-longirostris-154072.wav",26,15.7707925015075,15.9014332884732,3.73749720476024
"61","Phaethornis-longirostris-154072.wav",28,17.0527052236078,17.1792634859808,3.91726923180153
"63","Phaethornis-longirostris-154072.wav",30,18.3876907654129,18.5142490277858,4.22717761703235
"65","Phaethornis-longirostris-154072.wav",32,19.8778122417396,20.0043705041126,5.00951005345426
"67","Phaethornis-longirostris-154072.wav",34,21.4210065377712,21.5434822755514,5.2128192594029
"69","Phaethornis-longirostris-154072.wav",36,22.5926910958692,22.7233318828348,5.44088898684498
"71","Phaethornis-longirostris-154072.wav",38,24.0093271295278,24.1358853919007,3.71970141727489
"73","Phaethornis-longirostris-154072.wav",40,25.4137155894083,25.5402738517813,5.05572192596627
"75","Phaethornis-longirostris-154072.wav",42,26.7691137541768,26.9038370657351,5.60427197563456
"77","Phaethornis-longirostris-154072.wav",44,28.0796041484258,28.189832312428,3.02725865177899
"79","Phaethornis-longirostris-154072.wav",46,29.3778469688967,29.4962401820843,4.09462334349947
"81","Phaethornis-longirostris-154072.wav",48,30.6883373631458,30.8189781501114,1.18273555374123
"83","Phaethornis-longirostris-154072.wav",50,31.9375898885046,32.0559831016922,1.07201318005216
"85","Phaethornis-longirostris-154072.wav",52,33.2725754303097,33.3868861189046,1.09394115513978
"87","Phaethornis-longirostris-154072.wav",54,34.6320561196708,34.7422842836731,3.68789722204763
"89","Phaethornis-longirostris-154072.wav",56,36.2242407108145,36.3630465469654,4.73114892248863
"91","Phaethornis-longirostris-154072.wav",58,37.4163378918759,37.5592262526195,4.78765628764679
"93","Phaethornis-longirostris-154072.wav",60,38.7635710074589,38.8656341222758,3.01313834638748
"95","Phaethornis-longirostris-154072.wav",62,40.086308975486,40.2210322870443,4.95612985963438
"97","Phaethornis-longirostris-154072.wav",64,41.3559741238082,41.4784498615885,4.39632795372518
"99","Phaethornis-longirostris-154072.wav",66,42.8420130755423,42.9685713379153,4.60641915065766
"101","Phaethornis-longirostris-154072.wav",68,44.0422753057891,44.1769986173474,4.88946763215068
"103","Phaethornis-longirostris-154072.wav",70,45.4262511427062,45.5528094050792,4.24790119386653
"105","Phaethornis-longirostris-154072.wav",72,46.8714648485136,46.9980231108865,4.03653925727797
"107","Phaethornis-longirostris-154072.wav",74,48.4840620626206,48.6065378004009,3.91051359330157
"109","Phaethornis-longirostris-154072.wav",76,49.97826606354,50.1089068505056,6.26231022231593
"111","Phaethornis-longirostris-154072.wav",78,52.7747954095231,52.8931886227107,4.86879620814682
"113","Phaethornis-longirostris-154072.wav",80,54.2118440661451,54.3302372793327,3.78784788685918
"115","Phaethornis-longirostris-154072.wav",82,55.5835723292842,55.7019655424718,5.37976595595458
"117","Phaethornis-longirostris-154072.wav",84,57.0655287564256,57.1839219696132,5.4341823111175
"119","Phaethornis-longirostris-154072.wav",86,58.3760191506746,58.5107424622329,5.18286219575383
"121","Phaethornis-longirostris-154072.wav",88,59.8130678072966,59.9232959712988,1.08895710253394
