sound.files,selec,start,end,SNR
Phaethornis-longirostris-154070.wav,8,4.56607858534867,4.7268902355198,11.8204477824109
Phaethornis-longirostris-154070.wav,12,7.52673714644226,7.67090480026029,11.8514772771615
Phaethornis-longirostris-154070.wav,14,8.67002550083875,8.81861492480508,11.7158200811334
Phaethornis-longirostris-154070.wav,18,11.0861940885935,11.2375272776263,11.5941720974541
Phaethornis-longirostris-154070.wav,20,12.1968747226143,12.3380265024338,10.1915330369897
Phaethornis-longirostris-154072.wav,36,22.6106376200419,22.724737211917,15.5308859661866
Phaethornis-longirostris-154072.wav,108,76.0442494414756,76.1563762439995,15.3027800327915
Phaethornis-longirostris-154072.wav,124,88.2908041915318,88.4039967538202,15.3046594709134
Phaethornis-longirostris-154072.wav,142,100.431327182898,100.542524280095,15.3005465254884
Phaethornis-longirostris-154072.wav,148,103.909037348656,104.022932858875,15.8330684219595
Phaethornis-longirostris-154129.wav,57,37.6747677920883,37.7936746454046,14.2312065083638
Phaethornis-longirostris-154129.wav,83,52.6683302257916,52.7939490982974,14.835174115535
Phaethornis-longirostris-154129.wav,87,55.0222308203862,55.1428383542403,14.2366973296763
Phaethornis-longirostris-154129.wav,97,62.7274474439591,62.8524313957307,16.5687882542868
Phaethornis-longirostris-154129.wav,99,63.7908716464185,63.9187807687152,14.8302602942077
Phaethornis-longirostris-154138.wav,10,89.626088488577,89.7730225526764,17.0780790163896
Phaethornis-longirostris-154138.wav,12,91.0063154213672,91.1478526593839,16.7758684466981
Phaethornis-longirostris-154138.wav,14,92.2571545826108,92.3975580336353,16.7134428346911
Phaethornis-longirostris-154138.wav,16,93.1985832736907,93.3303699435748,16.2542575599685
Phaethornis-longirostris-154138.wav,18,94.2623702569658,94.4023655446732,14.2736563632167
Phaethornis-longirostris-154161.wav,106,68.9305335475119,69.037059448539,13.3996714821067
Phaethornis-longirostris-154161.wav,134,86.158835867876,86.2581282075524,13.8734567143212
Phaethornis-longirostris-154161.wav,138,88.508110653464,88.6017794093946,13.2619348415672
Phaethornis-longirostris-154161.wav,140,89.7532582626204,89.8575619410381,12.975552103281
Phaethornis-longirostris-154161.wav,142,90.9023967847601,91.006156245396,13.0973265660691
