"sound.files","selec","start","end","SNR","tailored"
"Phaethornis-longirostris-154070.wav",11,6.9533422719807,7.08237868406465,10.9975860205909,"y"
"Phaethornis-longirostris-154070.wav",13,8.08082294918216,8.20747431682135,12.045707768054,"y"
"Phaethornis-longirostris-154070.wav",15,9.22587731109843,9.35470991023099,12.350947391586,"y"
"Phaethornis-longirostris-154070.wav",19,11.6105329321627,11.7377669464691,12.1413706607882,"y"
"Phaethornis-longirostris-154070.wav",29,17.7258929636122,17.856171219141,11.0882278800525,"y"
"Phaethornis-longirostris-154072.wav",2,0.706788497592042,0.828558764938149,16.5357603092674,"y"
"Phaethornis-longirostris-154072.wav",36,22.6064122588001,22.7251747046353,16.6777177524556,"y"
"Phaethornis-longirostris-154072.wav",76,49.9850172403302,50.1081055576495,16.3910252054481,"y"
"Phaethornis-longirostris-154072.wav",126,89.0892042881773,89.2208460839604,16.88348176432,"y"
"Phaethornis-longirostris-154072.wav",148,103.3637200675,103.48467913731,17.4551243019593,"y"
"Phaethornis-longirostris-154129.wav",62,38.692929354805,38.8435869814122,14.2849077478675,"y"
"Phaethornis-longirostris-154129.wav",86,52.6646802095062,52.806945222828,15.2499780775324,"y"
"Phaethornis-longirostris-154129.wav",90,55.0175228352418,55.1638033279029,14.3808353120341,"y"
"Phaethornis-longirostris-154129.wav",102,63.2652826453395,63.4158987672189,16.1174611064604,"y"
"Phaethornis-longirostris-154129.wav",106,65.3667427430007,65.5122163329033,14.512501319253,"y"
"Phaethornis-longirostris-154138.wav",29,89.6225790561952,89.7680380094969,17.641573650114,"y"
"Phaethornis-longirostris-154138.wav",31,91.0026801106979,91.1469645626627,17.5521110715961,"y"
"Phaethornis-longirostris-154138.wav",33,92.2510139403486,92.3969934206585,17.6945404140213,"y"
"Phaethornis-longirostris-154138.wav",35,93.1894823213779,93.3426023327793,18.7652974438848,"y"
"Phaethornis-longirostris-154161.wav",129,80.5648951898798,80.6745674475219,12.7771273312259,"y"
"Phaethornis-longirostris-154161.wav",131,81.9369919851743,82.0447785263593,12.5948566889161,"y"
"Phaethornis-longirostris-154161.wav",135,84.4757430343285,84.5781549881299,12.5413640842266,"y"
"Phaethornis-longirostris-154161.wav",137,85.5839135989028,85.6920983518387,13.5361444001908,"y"
